nemonico;variable;orden;decimales
544161h;Mantenimieto;1;0
;Calidad del dato;2;2
141011h;Nivel de agua Maximo de 1 hora;3;2
;Calidad del dato;4;2
141021h;Nivel de agua Minimo de 1 hora;5;2
;Calidad del dato;6;2
141041h;Nivel de agua Promedio de 1 hora;7;2
;Calidad del dato;8;2
1410161h;Nivel de agua Instantaneo de 1 hora;9;2
;Calidad del dato;10;2
171481h;Precipitación suma 1 hora;11;2
;Calidad del dato;12;2
3919161h;Voltaje de bateria instantaneo de 1 hora;13;2
;Calidad del dato;14;2
